iter	Logloss	Accuracy
455	0.2181858208	0.9040423897
456	0.2181565426	0.9041138732
457	0.2180877165	0.9040960023
458	0.2180464984	0.9041496149
459	0.2179840207	0.9041853566
460	0.21795466	0.9041585503
461	0.2179170308	0.9041674857
462	0.2178762671	0.9042032275
463	0.2178191494	0.9041585503
464	0.2177575756	0.9042032275
465	0.2177260146	0.9042479046
466	0.2176982666	0.9042300338
467	0.2176598198	0.9042032275
468	0.2175922312	0.9041406795
469	0.2175646963	0.9042121629
470	0.2175205034	0.9041853566
471	0.2174927624	0.9042657755
472	0.2174655094	0.9043193881
473	0.2174129408	0.904337259
474	0.2173742465	0.9045249031
475	0.2173513722	0.9045338385
476	0.2172923584	0.9046231928
477	0.2172214605	0.9045695802
478	0.2171741967	0.9046321282
479	0.2171386191	0.90466787
480	0.2170978917	0.9046589345
481	0.2170605609	0.904730418
482	0.2170399045	0.904730418
483	0.2169965687	0.9047750952
484	0.216950396	0.9048108369
485	0.2169151795	0.9048287078
486	0.2168867441	0.9048555141
487	0.2168601108	0.9048197723
488	0.2168255805	0.9048197723
489	0.2167900512	0.9049627392
490	0.216756589	0.9049448684
491	0.2167185382	0.9049806101
492	0.2166742331	0.9049180621
493	0.2166509304	0.904998481
494	0.2166197648	0.9050074164
495	0.2165884454	0.9050342227
496	0.2165532593	0.9051146416
497	0.2165132344	0.9051503833
498	0.2164728847	0.9050967707
499	0.216412826	0.9051414479
500	0.2163746691	0.9051861251
501	0.2163416801	0.9052039959
502	0.216293027	0.9051771896
503	0.2162206524	0.9051861251
504	0.2161910514	0.9051682542
505	0.2161529701	0.9051682542
506	0.2160872347	0.9052486731
507	0.2160544029	0.9052844148
508	0.2160083686	0.905329092
509	0.2159396687	0.9053827046
510	0.2159186648	0.9053201565
511	0.2158762038	0.9053022857
512	0.2158274438	0.9053648337
513	0.2157817571	0.90539164
514	0.2157504162	0.9054363172
515	0.2157073663	0.9053827046
516	0.2156631797	0.9054631235
517	0.2156260935	0.905597155
518	0.2155707028	0.9056507676
519	0.2155155994	0.9057133156
520	0.2154694799	0.9056686384
521	0.2154282015	0.9056507676
522	0.2154008629	0.9056686384
523	0.2153680411	0.9056418321
524	0.2153254876	0.9057758636
525	0.2152923519	0.9058294762
526	0.2152530255	0.9058294762
527	0.2152257184	0.9058562825
528	0.2151815379	0.9059009597
529	0.2151418347	0.9058116053
530	0.2150845139	0.9058562825
531	0.2150319379	0.9058562825
532	0.2149875504	0.9058741534
533	0.2149482145	0.9058652179
534	0.214911162	0.9058473471
535	0.2148706575	0.9058294762
536	0.2148363618	0.905784799
537	0.2148042363	0.9058294762
538	0.2147562723	0.9059367014
539	0.214729919	0.9059724431
540	0.2146827913	0.9060349912
541	0.2146374054	0.9059813786
542	0.2145711822	0.9060796683
543	0.2145425224	0.9061243455
544	0.2144979426	0.9060707329
545	0.214449271	0.9061422163
546	0.2144171526	0.9061600872
547	0.2143639011	0.9062226352
548	0.214310279	0.9062047644
549	0.2142727801	0.9061958289
550	0.2142395518	0.9062315707
551	0.2142204953	0.9063030541
552	0.2141868061	0.9063119896
553	0.2141674116	0.9063387959
554	0.2141153301	0.9063656022
555	0.2140870168	0.9064102793
556	0.2140506713	0.9064638919
557	0.2140072749	0.906588988
558	0.2139787842	0.9066068588
559	0.2139509538	0.906651536
560	0.2139191297	0.9067319549
561	0.2138816521	0.9067855675
562	0.2138597849	0.9067319549
563	0.2138294889	0.9067766321
564	0.2137827635	0.9068570509
565	0.2137619587	0.906919599
566	0.2137172353	0.9068123738
567	0.2136857915	0.9067676966
568	0.2136560359	0.9068481155
569	0.2136176171	0.9068213092
570	0.2136023867	0.9068570509
571	0.2135720635	0.9068838572
572	0.2135387957	0.906919599
573	0.2134947872	0.9068481155
574	0.2134530039	0.9068749218
575	0.2134238459	0.9069910824
576	0.2133772061	0.907044695
577	0.2133131421	0.9070804368
578	0.213244354	0.9070983076
579	0.2132055785	0.9071697911
580	0.2131601733	0.9071787265
581	0.2131173154	0.9071251139
582	0.2130811991	0.90725021
583	0.2130488006	0.9072948871
584	0.2130247009	0.9073663706
585	0.2129914346	0.9073484997
586	0.2129528014	0.9073484997
587	0.2129167337	0.9073663706
588	0.2128520261	0.9073216934
589	0.2128383408	0.907312758
590	0.212784471	0.907375306
591	0.2127277862	0.9074557249
592	0.212670612	0.9074914667
593	0.2126343713	0.9075093375
594	0.2125743937	0.9075986919
595	0.2125219483	0.9075718856
596	0.212502721	0.9075450793
597	0.2124586427	0.9075272084
598	0.2124256388	0.907518273
599	0.2123824757	0.9075004021
600	0.2123486184	0.9075004021
601	0.2123224433	0.9074021123
602	0.2122961921	0.9074467895
603	0.2122560296	0.9074557249
604	0.2122095803	0.9075450793
605	0.2121736494	0.9075986919
606	0.2121369191	0.9077148525
607	0.2120957963	0.9075986919
608	0.2120702894	0.907705917
609	0.2120170775	0.9076969816
610	0.2119845846	0.907705917
611	0.2119513737	0.9076701753
612	0.2119265388	0.9076165627
613	0.2118694914	0.9076344336
614	0.211820018	0.907705917
615	0.2117736073	0.9076969816
616	0.2117410641	0.9076969816
617	0.211724309	0.9077595296
