iter	Passed	Remaining
609	8523	5449
610	8536	5434
611	8550	5420
612	8563	5406
613	8576	5391
614	8589	5377
615	8602	5362
616	8618	5349
617	8629	5334
618	8642	5319
619	8656	5305
620	8669	5291
621	8684	5277
622	8697	5262
623	8708	5247
624	8721	5233
625	8734	5218
626	8747	5203
627	8760	5189
628	8772	5174
629	8783	5158
630	8796	5144
631	8808	5129
632	8819	5113
633	8831	5098
634	8843	5083
635	8855	5068
636	8867	5053
637	8879	5038
638	8891	5023
639	8903	5008
640	8915	4993
641	8927	4978
642	8974	4982
643	8987	4968
644	9000	4954
645	9014	4939
646	9028	4925
647	9042	4912
648	9056	4897
649	9069	4883
650	9082	4869
651	9097	4855
652	9110	4841
653	9124	4827
654	9136	4812
655	9151	4798
656	9164	4784
657	9177	4770
658	9190	4755
659	9203	4741
660	9215	4726
661	9228	4712
662	9242	4697
663	9255	4683
664	9268	4669
665	9282	4655
666	9295	4640
667	9307	4625
668	9320	4611
669	9334	4597
670	9348	4583
671	9360	4568
672	9378	4557
673	9404	4548
674	9427	4539
675	9443	4526
676	9457	4512
677	9471	4498
678	9484	4483
679	9497	4469
680	9510	4455
681	9523	4440
682	9536	4425
683	9550	4412
684	9562	4397
685	9576	4383
686	9590	4369
687	9602	4354
688	9616	4340
689	9630	4326
690	9643	4312
691	9657	4298
692	9669	4283
693	9682	4269
694	9695	4254
695	9708	4240
696	9722	4226
697	9735	4212
698	9748	4197
699	9761	4183
700	9774	4169
701	9787	4154
702	9801	4140
703	9815	4126
704	9828	4112
705	9842	4098
706	9855	4084
707	9869	4070
708	9882	4056
709	9898	4042
710	9912	4029
711	9928	4015
712	9972	4014
713	9994	4003
714	10007	3988
715	10020	3974
716	10033	3960
717	10046	3945
718	10059	3931
719	10072	3917
720	10087	3903
721	10100	3889
722	10112	3874
723	10126	3860
724	10140	3846
725	10152	3831
726	10166	3817
727	10179	3803
728	10192	3789
729	10205	3774
730	10219	3760
731	10232	3746
732	10247	3732
733	10259	3718
734	10272	3703
735	10285	3689
736	10299	3675
737	10312	3660
738	10325	3646
739	10339	3632
740	10352	3618
741	10364	3603
742	10377	3589
743	10397	3577
744	10422	3567
745	10446	3556
746	10464	3544
747	10477	3529
748	10489	3515
749	10503	3501
750	10517	3487
751	10531	3473
752	10544	3458
753	10557	3444
754	10679	3465
755	10702	3454
756	10725	3442
757	10748	3431
758	10768	3419
759	10845	3424
760	10857	3409
761	10871	3395
762	10884	3380
763	10897	3366
764	10910	3351
765	10923	3337
766	10936	3322
767	10948	3307
768	10984	3299
769	11009	3288
770	11021	3273
771	11033	3258
772	11045	3243
773	11056	3228
774	11069	3213
775	11081	3198
776	11093	3183
777	11105	3168
778	11116	3153
779	11128	3138
780	11139	3123
781	11151	3108
782	11163	3093
783	11175	3078
784	11186	3063
785	11198	3048
786	11210	3034
787	11222	3019
788	11234	3004
789	11245	2989
790	11258	2974
791	11269	2959
792	11281	2944
793	11293	2930
794	11306	2915
795	11319	2900
796	11333	2886
797	11345	2871
798	11357	2857
799	11370	2842
800	11382	2827
801	11394	2813
802	11413	2800
803	11435	2787
804	11461	2776
805	11492	2766
806	11522	2755
807	11552	2745
808	11567	2730
809	11588	2718
810	11607	2705
811	11624	2691
812	11641	2677
813	11657	2663
814	11674	2649
815	11690	2636
816	11706	2622
817	11723	2608
818	11745	2595
819	11766	2582
820	11785	2569
821	11798	2554
822	11811	2540
823	11825	2525
