iter	Passed	Remaining
657	14702	7641
658	14722	7617
659	14741	7593
660	14756	7567
661	14775	7544
662	14796	7520
663	14819	7499
664	14836	7473
665	14856	7450
666	14876	7427
667	14896	7403
668	14913	7378
669	14934	7355
670	14954	7332
671	14975	7309
672	14994	7285
673	15014	7262
674	15030	7236
675	15049	7213
676	15065	7187
677	15085	7164
678	15105	7141
679	15125	7117
680	15145	7094
681	15163	7070
682	15197	7053
683	15240	7040
684	15259	7017
685	15278	6993
686	15297	6969
687	15319	6947
688	15338	6923
689	15358	6900
690	15375	6875
691	15394	6851
692	15414	6828
693	15435	6805
694	15450	6780
695	15470	6757
696	15489	6733
697	15509	6710
698	15529	6687
699	15543	6661
700	15559	6636
701	15579	6613
702	15599	6590
703	15614	6565
704	15641	6545
705	15687	6532
706	15711	6511
707	15731	6488
708	15750	6464
709	15772	6442
710	15792	6419
711	15813	6396
712	15833	6373
713	15854	6350
714	15874	6327
715	15894	6304
716	15915	6281
717	15934	6258
718	15954	6235
719	15974	6212
720	15994	6189
721	16013	6165
722	16033	6142
723	16053	6119
724	16072	6096
725	16091	6073
726	16107	6048
727	16127	6025
728	16148	6002
729	16167	5979
730	16187	5956
731	16232	5943
732	16269	5926
733	16289	5903
734	16308	5880
735	16328	5856
736	16347	5833
737	16365	5810
738	16385	5787
739	16404	5763
740	16424	5740
741	16443	5717
742	16463	5694
743	16483	5671
744	16504	5649
745	16523	5626
746	16538	5601
747	16555	5577
748	16573	5554
749	16593	5531
750	16613	5508
751	16633	5485
752	16650	5461
753	16695	5447
754	16734	5430
755	16755	5407
756	16776	5385
757	16796	5362
758	16817	5339
759	16833	5315
760	16852	5292
761	16873	5270
762	16893	5247
763	16910	5223
764	16924	5199
765	16938	5174
766	16953	5150
767	16969	5126
768	16989	5103
769	17009	5080
770	17029	5058
771	17048	5035
772	17069	5012
773	17089	4990
774	17107	4966
775	17127	4943
776	17147	4921
777	17161	4897
778	17176	4872
779	17196	4850
780	17215	4827
781	17259	4811
782	17313	4798
783	17333	4775
784	17350	4751
785	17370	4729
786	17389	4706
787	17410	4684
788	17430	4661
789	17450	4638
790	17470	4616
791	17489	4593
792	17509	4570
793	17527	4547
794	17547	4524
795	17566	4501
796	17585	4479
797	17604	4456
798	17620	4432
799	17636	4409
800	17656	4386
801	17676	4364
802	17713	4345
803	17755	4328
804	17778	4306
805	17797	4283
806	17817	4261
807	17838	4238
808	17856	4215
809	17872	4192
810	17892	4169
811	17912	4147
812	17931	4124
813	17950	4101
814	17971	4079
815	17990	4056
816	18010	4034
817	18030	4011
818	18049	3988
819	18068	3966
820	18082	3942
821	18102	3919
822	18117	3896
823	18136	3873
824	18155	3851
825	18174	3828
826	18188	3804
827	18207	3782
828	18226	3759
829	18246	3737
830	18293	3720
831	18372	3709
832	18386	3686
833	18405	3663
834	18420	3639
835	18439	3617
836	18456	3594
837	18475	3571
838	18495	3549
839	18515	3526
840	18535	3504
841	18554	3481
842	18574	3459
843	18593	3436
844	18612	3414
845	18632	3391
846	18652	3369
847	18671	3346
848	18690	3324
849	18709	3301
850	18724	3278
851	18742	3255
852	18764	3233
853	18811	3216
854	18839	3195
855	18859	3172
856	18874	3149
857	18893	3126
858	18913	3104
859	18933	3082
860	18974	3063
861	18996	3041
862	19015	3018
863	19035	2996
864	19055	2973
865	19074	2951
866	19088	2928
867	19107	2905
868	19127	2883
869	19147	2861
870	19167	2838
871	19188	2816
872	19206	2794
873	19226	2771
874	19245	2749
875	19265	2727
876	19284	2704
877	19300	2681
878	19314	2658
879	19348	2638
880	19405	2621
881	19424	2598
882	19437	2575
883	19451	2552
884	19471	2530
885	19490	2507
886	19510	2485
887	19529	2463
888	19549	2440
889	19569	2418
890	19589	2396
891	19610	2374
892	19630	2352
893	19648	2329
894	19668	2307
895	19688	2285
896	19708	2263
897	19727	2240
898	19751	2219
899	19771	2196
900	19788	2174
901	19833	2154
902	19866	2134
903	19886	2111
904	19903	2089
905	19920	2066
906	19936	2044
907	19956	2022
908	19976	1999
909	19995	1977
910	20015	1955
911	20034	1933
912	20054	1910
913	20073	1888
914	20093	1866
915	20106	1843
916	20125	1821
917	20145	1799
918	20164	1777
919	20185	1755
920	20205	1733
921	20225	1711
922	20245	1688
923	20264	1666
924	20283	1644
925	20303	1622
926	20323	1600
927	20343	1578
928	20407	1559
929	20447	1539
930	20467	1516
931	20487	1494
932	20507	1472
933	20527	1450
934	20547	1428
935	20562	1405
936	20582	1383
937	20596	1361
938	20616	1339
939	20635	1317
940	20654	1295
941	20673	1272
942	20693	1250
